	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-3.6479e+007	3.7433e+007	9.5429e+005	-1.0241e+007	-9.2867e+006	
2	6.25e-003	-3.6479e+007	3.5873e+007	-6.0541e+005	-9.3776e+006	-9.983e+006	
3	1.25e-002	-3.6479e+007	3.4313e+007	-2.1651e+006	-9.0754e+006	-1.1241e+007	
4	1.875e-002	-3.6479e+007	3.2754e+007	-3.7248e+006	-8.6187e+006	-1.2344e+007	
5	2.5e-002	-3.6479e+007	3.1194e+007	-5.2845e+006	-7.3887e+006	-1.2673e+007	
6	3.125e-002	-3.6479e+007	2.9634e+007	-6.8442e+006	-5.8991e+006	-1.2743e+007	
7	3.75e-002	-3.6479e+007	2.8075e+007	-8.4039e+006	-4.5922e+006	-1.2996e+007	
8	4.375e-002	-3.6479e+007	2.6515e+007	-9.9636e+006	-3.3103e+006	-1.3274e+007	
9	5.e-002	-3.6479e+007	2.4955e+007	-1.1523e+007	-2.1339e+006	-1.3657e+007	
10	5.625e-002	-3.6479e+007	2.3396e+007	-1.3083e+007	-7.767e+005	-1.386e+007	
11	6.25e-002	-3.6479e+007	2.1836e+007	-1.4643e+007	-2.3594e+005	-1.4879e+007	
12	6.875e-002	-3.6479e+007	2.0276e+007	-1.6202e+007	1.0055e+006	-1.5197e+007	
13	7.5e-002	-3.6479e+007	1.8716e+007	-1.7762e+007	1.4997e+006	-1.6262e+007	
14	8.125e-002	-3.6479e+007	1.7157e+007	-1.9322e+007	3.3488e+006	-1.5973e+007	
15	8.75e-002	-3.6479e+007	1.5597e+007	-2.0882e+007	5.0219e+006	-1.586e+007	
16	9.375e-002	-3.6479e+007	1.4037e+007	-2.2441e+007	6.7284e+006	-1.5713e+007	
17	1.e-001	-3.6479e+007	1.2478e+007	-2.4001e+007	6.234e+006	-1.7767e+007	
18	0.10625	-3.6479e+007	1.0918e+007	-2.5561e+007	7.3701e+006	-1.8191e+007	
19	0.1125	-3.6479e+007	9.3582e+006	-2.712e+007	8.9379e+006	-1.8182e+007	
20	0.11875	-3.6479e+007	7.7985e+006	-2.868e+007	1.1214e+007	-1.7466e+007	
21	0.125	-3.6479e+007	6.2388e+006	-3.024e+007	1.204e+007	-1.8199e+007	
22	0.13125	-3.6479e+007	4.6791e+006	-3.1799e+007	1.3702e+007	-1.8097e+007	
23	0.1375	-3.6479e+007	3.1194e+006	-3.3359e+007	1.4343e+007	-1.9016e+007	
24	0.14375	-3.6479e+007	1.5597e+006	-3.4919e+007	1.4387e+007	-2.0532e+007	
25	0.15	-3.6479e+007	0.	-3.6479e+007	1.5108e+007	-2.1371e+007	
26	0.15625	-3.6479e+007	-1.5597e+006	-3.8038e+007	1.2252e+007	-2.5786e+007	
27	0.1625	-3.6479e+007	-3.1194e+006	-3.9598e+007	5.3748e+006	-3.4223e+007	
28	0.16875	-3.6479e+007	-4.6791e+006	-4.1158e+007	-1.941e+006	-4.3099e+007	
29	0.175	-3.6479e+007	-6.2388e+006	-4.2717e+007	-3.1994e+006	-4.5917e+007	
30	0.18125	-3.6479e+007	-7.7985e+006	-4.4277e+007	-6.1966e+006	-5.0474e+007	
31	0.1875	-3.6479e+007	-9.3582e+006	-4.5837e+007	-5.173e+006	-5.101e+007	
32	0.19375	-3.6479e+007	-1.0918e+007	-4.7397e+007	-7.6192e+006	-5.5016e+007	
33	0.2	-3.6479e+007	-1.2478e+007	-4.8956e+007	-7.4679e+006	-5.6424e+007	
34	0.20625	-3.6479e+007	-1.4037e+007	-5.0516e+007	-8.1368e+006	-5.8653e+007	
35	0.2125	-3.6479e+007	-1.5597e+007	-5.2076e+007	-8.5985e+006	-6.0674e+007	
36	0.21875	-3.6479e+007	-1.7157e+007	-5.3635e+007	-8.7522e+006	-6.2387e+007	
37	0.225	-3.6479e+007	-1.8716e+007	-5.5195e+007	-8.8588e+006	-6.4054e+007	
38	0.23125	-3.6479e+007	-2.0276e+007	-5.6755e+007	-8.7088e+006	-6.5464e+007	
39	0.2375	-3.6479e+007	-2.1836e+007	-5.8314e+007	-7.7793e+006	-6.6094e+007	
40	0.24375	-3.6479e+007	-2.3396e+007	-5.9874e+007	-6.0674e+006	-6.5942e+007	
41	0.25	-3.6479e+007	-2.4955e+007	-6.1434e+007	-4.0937e+006	-6.5528e+007	
42	0.25625	-3.6479e+007	-2.6515e+007	-6.2994e+007	-3.1713e+006	-6.6165e+007	
43	0.2625	-3.6479e+007	-2.8075e+007	-6.4553e+007	-2.0799e+006	-6.6633e+007	
44	0.26875	-3.6479e+007	-2.9634e+007	-6.6113e+007	-2.76e+005	-6.6389e+007	
45	0.275	-3.6479e+007	-3.1194e+007	-6.7673e+007	1.3549e+006	-6.6318e+007	
46	0.28125	-3.6479e+007	-3.2754e+007	-6.9232e+007	2.3419e+006	-6.689e+007	
47	0.2875	-3.6479e+007	-3.4313e+007	-7.0792e+007	3.6722e+006	-6.712e+007	
48	0.29375	-3.6479e+007	-3.5873e+007	-7.2352e+007	5.3412e+006	-6.7011e+007	
49	0.3	-3.6479e+007	-3.7433e+007	-7.3911e+007	6.7419e+006	-6.717e+007	
