	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-9.457e+006	-2.0291e+007	-2.9748e+007	5.7047e+006	-2.4044e+007	
2	6.25e-003	-9.457e+006	-1.9446e+007	-2.8903e+007	2.1459e+006	-2.6757e+007	
3	1.25e-002	-9.457e+006	-1.8601e+007	-2.8058e+007	-5.5186e+006	-3.3576e+007	
4	1.875e-002	-9.457e+006	-1.7755e+007	-2.7212e+007	-1.1796e+007	-3.9009e+007	
5	2.5e-002	-9.457e+006	-1.691e+007	-2.6367e+007	-1.4692e+007	-4.1058e+007	
6	3.125e-002	-9.457e+006	-1.6064e+007	-2.5521e+007	-1.2801e+007	-3.8322e+007	
7	3.75e-002	-9.457e+006	-1.5219e+007	-2.4676e+007	-1.1717e+007	-3.6392e+007	
8	4.375e-002	-9.457e+006	-1.4373e+007	-2.383e+007	-9.3078e+006	-3.3138e+007	
9	5.e-002	-9.457e+006	-1.3528e+007	-2.2985e+007	-9.8502e+006	-3.2835e+007	
10	5.625e-002	-9.457e+006	-1.2682e+007	-2.2139e+007	-1.0667e+007	-3.2806e+007	
11	6.25e-002	-9.457e+006	-1.1837e+007	-2.1294e+007	-8.6348e+006	-2.9928e+007	
12	6.875e-002	-9.457e+006	-1.0991e+007	-2.0448e+007	-5.2376e+006	-2.5686e+007	
13	7.5e-002	-9.457e+006	-1.0146e+007	-1.9603e+007	-5.8557e+006	-2.5458e+007	
14	8.125e-002	-9.457e+006	-9.3003e+006	-1.8757e+007	-7.1931e+006	-2.595e+007	
15	8.75e-002	-9.457e+006	-8.4548e+006	-1.7912e+007	-2.604e+005	-1.8172e+007	
16	9.375e-002	-9.457e+006	-7.6093e+006	-1.7066e+007	1.4259e+007	-2.807e+006	
17	1.e-001	-9.457e+006	-6.7638e+006	-1.6221e+007	1.6202e+007	-18355	
18	0.10625	-9.457e+006	-5.9183e+006	-1.5375e+007	1.5375e+007	-0.93307	
19	0.1125	-9.457e+006	-5.0729e+006	-1.453e+007	1.453e+007	0.	
20	0.11875	-9.457e+006	-4.2274e+006	-1.3684e+007	1.3684e+007	0.	
21	0.125	-9.457e+006	-3.3819e+006	-1.2839e+007	1.2839e+007	0.	
22	0.13125	-9.457e+006	-2.5364e+006	-1.1993e+007	1.1993e+007	0.	
23	0.1375	-9.457e+006	-1.691e+006	-1.1148e+007	1.1148e+007	0.	
24	0.14375	-9.457e+006	-8.4548e+005	-1.0302e+007	1.0302e+007	0.	
25	0.15	-9.457e+006	0.	-9.457e+006	9.457e+006	0.	
26	0.15625	-9.457e+006	8.4548e+005	-8.6115e+006	8.6115e+006	0.	
27	0.1625	-9.457e+006	1.691e+006	-7.766e+006	7.766e+006	0.	
28	0.16875	-9.457e+006	2.5364e+006	-6.9206e+006	6.9206e+006	0.	
29	0.175	-9.457e+006	3.3819e+006	-6.0751e+006	6.0751e+006	0.	
30	0.18125	-9.457e+006	4.2274e+006	-5.2296e+006	5.2296e+006	0.	
31	0.1875	-9.457e+006	5.0729e+006	-4.3841e+006	4.3841e+006	0.	
32	0.19375	-9.457e+006	5.9183e+006	-3.5387e+006	3.5387e+006	0.	
33	0.2	-9.457e+006	6.7638e+006	-2.6932e+006	2.6932e+006	0.	
34	0.20625	-9.457e+006	7.6093e+006	-1.8477e+006	1.8477e+006	0.	
35	0.2125	-9.457e+006	8.4548e+006	-1.0022e+006	1.0022e+006	0.	
36	0.21875	-9.457e+006	9.3003e+006	-1.5674e+005	1.5674e+005	0.	
37	0.225	-9.457e+006	1.0146e+007	6.8874e+005	-6.8874e+005	0.	
38	0.23125	-9.457e+006	1.0991e+007	1.5342e+006	-1.5342e+006	0.	
39	0.2375	-9.457e+006	1.1837e+007	2.3797e+006	-2.3797e+006	0.	
40	0.24375	-9.457e+006	1.2682e+007	3.2252e+006	-3.2252e+006	0.	
41	0.25	-9.457e+006	1.3528e+007	4.0706e+006	-4.0706e+006	0.	
42	0.25625	-9.457e+006	1.4373e+007	4.9161e+006	-4.9161e+006	0.	
43	0.2625	-9.457e+006	1.5219e+007	5.7616e+006	-5.7616e+006	0.	
44	0.26875	-9.457e+006	1.6064e+007	6.6071e+006	-6.6071e+006	0.	
45	0.275	-9.457e+006	1.691e+007	7.4526e+006	-7.4526e+006	0.	
46	0.28125	-9.457e+006	1.7755e+007	8.298e+006	-8.298e+006	0.	
47	0.2875	-9.457e+006	1.8601e+007	9.1435e+006	-9.1435e+006	0.	
48	0.29375	-9.457e+006	1.9446e+007	9.989e+006	-9.989e+006	0.	
49	0.3	-9.457e+006	2.0291e+007	1.0834e+007	-1.0834e+007	0.	
