	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-6.4321e+006	-1.4399e+007	-2.0831e+007	-1.0541e+007	-3.1372e+007	
2	6.25e-003	-6.4321e+006	-1.3799e+007	-2.0231e+007	-9.7494e+006	-2.998e+007	
3	1.25e-002	-6.4321e+006	-1.3199e+007	-1.9631e+007	-8.9578e+006	-2.8589e+007	
4	1.875e-002	-6.4321e+006	-1.2599e+007	-1.9031e+007	-8.0875e+006	-2.7118e+007	
5	2.5e-002	-6.4321e+006	-1.1999e+007	-1.8431e+007	-7.1649e+006	-2.5596e+007	
6	3.125e-002	-6.4321e+006	-1.1399e+007	-1.7831e+007	-6.3162e+006	-2.4147e+007	
7	3.75e-002	-6.4321e+006	-1.0799e+007	-1.7231e+007	-5.7636e+006	-2.2995e+007	
8	4.375e-002	-6.4321e+006	-1.0199e+007	-1.6631e+007	-5.2109e+006	-2.1842e+007	
9	5.e-002	-6.4321e+006	-9.5991e+006	-1.6031e+007	-5.0328e+006	-2.1064e+007	
10	5.625e-002	-6.4321e+006	-8.9992e+006	-1.5431e+007	-4.9483e+006	-2.038e+007	
11	6.25e-002	-6.4321e+006	-8.3992e+006	-1.4831e+007	-4.2448e+006	-1.9076e+007	
12	6.875e-002	-6.4321e+006	-7.7993e+006	-1.4231e+007	-2.6128e+006	-1.6844e+007	
13	7.5e-002	-6.4321e+006	-7.1993e+006	-1.3631e+007	-9.8082e+005	-1.4612e+007	
14	8.125e-002	-6.4321e+006	-6.5994e+006	-1.3032e+007	2.748e+006	-1.0284e+007	
15	8.75e-002	-6.4321e+006	-5.9994e+006	-1.2432e+007	6.4768e+006	-5.9548e+006	
16	9.375e-002	-6.4321e+006	-5.3995e+006	-1.1832e+007	8.6642e+006	-3.1674e+006	
17	1.e-001	-6.4321e+006	-4.7996e+006	-1.1232e+007	9.8239e+006	-1.4078e+006	
18	0.10625	-6.4321e+006	-4.1996e+006	-1.0632e+007	1.0632e+007	0.	
19	0.1125	-6.4321e+006	-3.5997e+006	-1.0032e+007	1.0032e+007	0.	
20	0.11875	-6.4321e+006	-2.9997e+006	-9.4319e+006	9.4319e+006	0.	
21	0.125	-6.4321e+006	-2.3998e+006	-8.8319e+006	8.8319e+006	0.	
22	0.13125	-6.4321e+006	-1.7998e+006	-8.232e+006	8.232e+006	0.	
23	0.1375	-6.4321e+006	-1.1999e+006	-7.632e+006	7.632e+006	0.	
24	0.14375	-6.4321e+006	-5.9994e+005	-7.0321e+006	7.0321e+006	0.	
25	0.15	-6.4321e+006	0.	-6.4321e+006	6.4321e+006	0.	
26	0.15625	-6.4321e+006	5.9994e+005	-5.8322e+006	5.8322e+006	0.	
27	0.1625	-6.4321e+006	1.1999e+006	-5.2323e+006	5.2323e+006	0.	
28	0.16875	-6.4321e+006	1.7998e+006	-4.6323e+006	4.6323e+006	0.	
29	0.175	-6.4321e+006	2.3998e+006	-4.0324e+006	4.0324e+006	0.	
30	0.18125	-6.4321e+006	2.9997e+006	-3.4324e+006	3.4324e+006	0.	
31	0.1875	-6.4321e+006	3.5997e+006	-2.8325e+006	2.8325e+006	0.	
32	0.19375	-6.4321e+006	4.1996e+006	-2.2325e+006	2.2325e+006	0.	
33	0.2	-6.4321e+006	4.7996e+006	-1.6326e+006	1.6326e+006	0.	
34	0.20625	-6.4321e+006	5.3995e+006	-1.0327e+006	1.0327e+006	0.	
35	0.2125	-6.4321e+006	5.9994e+006	-4.3271e+005	4.3271e+005	0.	
36	0.21875	-6.4321e+006	6.5994e+006	1.6723e+005	-1.6723e+005	0.	
37	0.225	-6.4321e+006	7.1993e+006	7.6718e+005	-7.6718e+005	0.	
38	0.23125	-6.4321e+006	7.7993e+006	1.3671e+006	-1.3671e+006	0.	
39	0.2375	-6.4321e+006	8.3992e+006	1.9671e+006	-1.9671e+006	0.	
40	0.24375	-6.4321e+006	8.9992e+006	2.567e+006	-2.567e+006	0.	
41	0.25	-6.4321e+006	9.5991e+006	3.167e+006	-3.167e+006	0.	
42	0.25625	-6.4321e+006	1.0199e+007	3.7669e+006	-3.7669e+006	0.	
43	0.2625	-6.4321e+006	1.0799e+007	4.3668e+006	-4.3668e+006	0.	
44	0.26875	-6.4321e+006	1.1399e+007	4.9668e+006	-4.9668e+006	0.	
45	0.275	-6.4321e+006	1.1999e+007	5.5667e+006	-5.5667e+006	0.	
46	0.28125	-6.4321e+006	1.2599e+007	6.1667e+006	-6.1667e+006	0.	
47	0.2875	-6.4321e+006	1.3199e+007	6.7666e+006	-6.7666e+006	0.	
48	0.29375	-6.4321e+006	1.3799e+007	7.3666e+006	-7.3666e+006	0.	
49	0.3	-6.4321e+006	1.4399e+007	7.9665e+006	-7.9665e+006	0.	
