	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-7.4817e+006	-1.6455e+007	-2.3936e+007	-5.9723e+006	-2.9909e+007	
2	6.25e-003	-7.4817e+006	-1.5769e+007	-2.3251e+007	-7.0256e+006	-3.0276e+007	
3	1.25e-002	-7.4817e+006	-1.5083e+007	-2.2565e+007	-8.044e+006	-3.0609e+007	
4	1.875e-002	-7.4817e+006	-1.4398e+007	-2.188e+007	-8.3168e+006	-3.0196e+007	
5	2.5e-002	-7.4817e+006	-1.3712e+007	-2.1194e+007	-8.0019e+006	-2.9196e+007	
6	3.125e-002	-7.4817e+006	-1.3027e+007	-2.0508e+007	-7.7684e+006	-2.8277e+007	
7	3.75e-002	-7.4817e+006	-1.2341e+007	-1.9823e+007	-8.4386e+006	-2.8261e+007	
8	4.375e-002	-7.4817e+006	-1.1655e+007	-1.9137e+007	-7.7584e+006	-2.6896e+007	
9	5.e-002	-7.4817e+006	-1.097e+007	-1.8451e+007	-6.9121e+006	-2.5364e+007	
10	5.625e-002	-7.4817e+006	-1.0284e+007	-1.7766e+007	-5.8332e+006	-2.3599e+007	
11	6.25e-002	-7.4817e+006	-9.5985e+006	-1.708e+007	-4.7325e+006	-2.1813e+007	
12	6.875e-002	-7.4817e+006	-8.9129e+006	-1.6395e+007	-4.1225e+006	-2.0517e+007	
13	7.5e-002	-7.4817e+006	-8.2273e+006	-1.5709e+007	-4.8413e+006	-2.055e+007	
14	8.125e-002	-7.4817e+006	-7.5417e+006	-1.5023e+007	-9.0636e+005	-1.593e+007	
15	8.75e-002	-7.4817e+006	-6.8561e+006	-1.4338e+007	5.5056e+006	-8.8322e+006	
16	9.375e-002	-7.4817e+006	-6.1705e+006	-1.3652e+007	1.0359e+007	-3.2928e+006	
17	1.e-001	-7.4817e+006	-5.4849e+006	-1.2967e+007	1.2407e+007	-5.5999e+005	
18	0.10625	-7.4817e+006	-4.7993e+006	-1.2281e+007	1.2281e+007	0.	
19	0.1125	-7.4817e+006	-4.1137e+006	-1.1595e+007	1.1595e+007	0.	
20	0.11875	-7.4817e+006	-3.428e+006	-1.091e+007	1.091e+007	0.	
21	0.125	-7.4817e+006	-2.7424e+006	-1.0224e+007	1.0224e+007	0.	
22	0.13125	-7.4817e+006	-2.0568e+006	-9.5386e+006	9.5386e+006	0.	
23	0.1375	-7.4817e+006	-1.3712e+006	-8.8529e+006	8.8529e+006	0.	
24	0.14375	-7.4817e+006	-6.8561e+005	-8.1673e+006	8.1673e+006	0.	
25	0.15	-7.4817e+006	0.	-7.4817e+006	7.4817e+006	0.	
26	0.15625	-7.4817e+006	6.8561e+005	-6.7961e+006	6.7961e+006	0.	
27	0.1625	-7.4817e+006	1.3712e+006	-6.1105e+006	6.1105e+006	0.	
28	0.16875	-7.4817e+006	2.0568e+006	-5.4249e+006	5.4249e+006	0.	
29	0.175	-7.4817e+006	2.7424e+006	-4.7393e+006	4.7393e+006	0.	
30	0.18125	-7.4817e+006	3.428e+006	-4.0537e+006	4.0537e+006	0.	
31	0.1875	-7.4817e+006	4.1137e+006	-3.3681e+006	3.3681e+006	0.	
32	0.19375	-7.4817e+006	4.7993e+006	-2.6825e+006	2.6825e+006	0.	
33	0.2	-7.4817e+006	5.4849e+006	-1.9969e+006	1.9969e+006	0.	
34	0.20625	-7.4817e+006	6.1705e+006	-1.3112e+006	1.3112e+006	0.	
35	0.2125	-7.4817e+006	6.8561e+006	-6.2563e+005	6.2563e+005	0.	
36	0.21875	-7.4817e+006	7.5417e+006	59976	-59976	0.	
37	0.225	-7.4817e+006	8.2273e+006	7.4559e+005	-7.4559e+005	0.	
38	0.23125	-7.4817e+006	8.9129e+006	1.4312e+006	-1.4312e+006	0.	
39	0.2375	-7.4817e+006	9.5985e+006	2.1168e+006	-2.1168e+006	0.	
40	0.24375	-7.4817e+006	1.0284e+007	2.8024e+006	-2.8024e+006	0.	
41	0.25	-7.4817e+006	1.097e+007	3.488e+006	-3.488e+006	0.	
42	0.25625	-7.4817e+006	1.1655e+007	4.1736e+006	-4.1736e+006	0.	
43	0.2625	-7.4817e+006	1.2341e+007	4.8592e+006	-4.8592e+006	0.	
44	0.26875	-7.4817e+006	1.3027e+007	5.5449e+006	-5.5449e+006	0.	
45	0.275	-7.4817e+006	1.3712e+007	6.2305e+006	-6.2305e+006	0.	
46	0.28125	-7.4817e+006	1.4398e+007	6.9161e+006	-6.9161e+006	0.	
47	0.2875	-7.4817e+006	1.5083e+007	7.6017e+006	-7.6017e+006	0.	
48	0.29375	-7.4817e+006	1.5769e+007	8.2873e+006	-8.2873e+006	0.	
49	0.3	-7.4817e+006	1.6455e+007	8.9729e+006	-8.9729e+006	0.	
