	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-8.0858e+006	-1.7838e+007	-2.5924e+007	-1.9812e+007	-4.5736e+007	
2	6.25e-003	-8.0858e+006	-1.7095e+007	-2.5181e+007	-8.7619e+006	-3.3943e+007	
3	1.25e-002	-8.0858e+006	-1.6352e+007	-2.4437e+007	-4.6162e+006	-2.9054e+007	
4	1.875e-002	-8.0858e+006	-1.5608e+007	-2.3694e+007	-7.7288e+006	-3.1423e+007	
5	2.5e-002	-8.0858e+006	-1.4865e+007	-2.2951e+007	-8.7276e+006	-3.1679e+007	
6	3.125e-002	-8.0858e+006	-1.4122e+007	-2.2208e+007	-8.0362e+006	-3.0244e+007	
7	3.75e-002	-8.0858e+006	-1.3379e+007	-2.1464e+007	-7.5748e+006	-2.9039e+007	
8	4.375e-002	-8.0858e+006	-1.2635e+007	-2.0721e+007	-7.4716e+006	-2.8193e+007	
9	5.e-002	-8.0858e+006	-1.1892e+007	-1.9978e+007	-6.7532e+006	-2.6731e+007	
10	5.625e-002	-8.0858e+006	-1.1149e+007	-1.9235e+007	-5.8129e+006	-2.5048e+007	
11	6.25e-002	-8.0858e+006	-1.0406e+007	-1.8491e+007	-5.0007e+006	-2.3492e+007	
12	6.875e-002	-8.0858e+006	-9.6624e+006	-1.7748e+007	-4.3329e+006	-2.2081e+007	
13	7.5e-002	-8.0858e+006	-8.9191e+006	-1.7005e+007	-4.8609e+006	-2.1866e+007	
14	8.125e-002	-8.0858e+006	-8.1759e+006	-1.6262e+007	-2.9404e+006	-1.9202e+007	
15	8.75e-002	-8.0858e+006	-7.4326e+006	-1.5518e+007	5.0906e+006	-1.0428e+007	
16	9.375e-002	-8.0858e+006	-6.6893e+006	-1.4775e+007	1.209e+007	-2.6856e+006	
17	1.e-001	-8.0858e+006	-5.9461e+006	-1.4032e+007	1.389e+007	-1.4226e+005	
18	0.10625	-8.0858e+006	-5.2028e+006	-1.3289e+007	1.3289e+007	0.	
19	0.1125	-8.0858e+006	-4.4596e+006	-1.2545e+007	1.2545e+007	0.	
20	0.11875	-8.0858e+006	-3.7163e+006	-1.1802e+007	1.1802e+007	0.	
21	0.125	-8.0858e+006	-2.973e+006	-1.1059e+007	1.1059e+007	0.	
22	0.13125	-8.0858e+006	-2.2298e+006	-1.0316e+007	1.0316e+007	0.	
23	0.1375	-8.0858e+006	-1.4865e+006	-9.5723e+006	9.5723e+006	0.	
24	0.14375	-8.0858e+006	-7.4326e+005	-8.829e+006	8.829e+006	0.	
25	0.15	-8.0858e+006	0.	-8.0858e+006	8.0858e+006	0.	
26	0.15625	-8.0858e+006	7.4326e+005	-7.3425e+006	7.3425e+006	0.	
27	0.1625	-8.0858e+006	1.4865e+006	-6.5993e+006	6.5993e+006	0.	
28	0.16875	-8.0858e+006	2.2298e+006	-5.856e+006	5.856e+006	0.	
29	0.175	-8.0858e+006	2.973e+006	-5.1127e+006	5.1127e+006	0.	
30	0.18125	-8.0858e+006	3.7163e+006	-4.3695e+006	4.3695e+006	0.	
31	0.1875	-8.0858e+006	4.4596e+006	-3.6262e+006	3.6262e+006	0.	
32	0.19375	-8.0858e+006	5.2028e+006	-2.883e+006	2.883e+006	0.	
33	0.2	-8.0858e+006	5.9461e+006	-2.1397e+006	2.1397e+006	0.	
34	0.20625	-8.0858e+006	6.6893e+006	-1.3964e+006	1.3964e+006	0.	
35	0.2125	-8.0858e+006	7.4326e+006	-6.5317e+005	6.5317e+005	0.	
36	0.21875	-8.0858e+006	8.1759e+006	90087	-90087	0.	
37	0.225	-8.0858e+006	8.9191e+006	8.3335e+005	-8.3335e+005	0.	
38	0.23125	-8.0858e+006	9.6624e+006	1.5766e+006	-1.5766e+006	0.	
39	0.2375	-8.0858e+006	1.0406e+007	2.3199e+006	-2.3199e+006	0.	
40	0.24375	-8.0858e+006	1.1149e+007	3.0631e+006	-3.0631e+006	0.	
41	0.25	-8.0858e+006	1.1892e+007	3.8064e+006	-3.8064e+006	0.	
42	0.25625	-8.0858e+006	1.2635e+007	4.5496e+006	-4.5496e+006	0.	
43	0.2625	-8.0858e+006	1.3379e+007	5.2929e+006	-5.2929e+006	0.	
44	0.26875	-8.0858e+006	1.4122e+007	6.0362e+006	-6.0362e+006	0.	
45	0.275	-8.0858e+006	1.4865e+007	6.7794e+006	-6.7794e+006	0.	
46	0.28125	-8.0858e+006	1.5608e+007	7.5227e+006	-7.5227e+006	0.	
47	0.2875	-8.0858e+006	1.6352e+007	8.2659e+006	-8.2659e+006	0.	
48	0.29375	-8.0858e+006	1.7095e+007	9.0092e+006	-9.0092e+006	0.	
49	0.3	-8.0858e+006	1.7838e+007	9.7525e+006	-9.7525e+006	0.	
