	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-9.0534e+006	-1.9493e+007	-2.8547e+007	5.887e+006	-2.2659e+007	
2	6.25e-003	-9.0534e+006	-1.8681e+007	-2.7734e+007	-1.3239e+006	-2.9058e+007	
3	1.25e-002	-9.0534e+006	-1.7869e+007	-2.6922e+007	-4.7569e+006	-3.1679e+007	
4	1.875e-002	-9.0534e+006	-1.7057e+007	-2.611e+007	-8.3198e+006	-3.443e+007	
5	2.5e-002	-9.0534e+006	-1.6244e+007	-2.5298e+007	-1.1093e+007	-3.6391e+007	
6	3.125e-002	-9.0534e+006	-1.5432e+007	-2.4485e+007	-1.4076e+007	-3.8561e+007	
7	3.75e-002	-9.0534e+006	-1.462e+007	-2.3673e+007	-1.3498e+007	-3.7172e+007	
8	4.375e-002	-9.0534e+006	-1.3808e+007	-2.2861e+007	-1.2166e+007	-3.5027e+007	
9	5.e-002	-9.0534e+006	-1.2995e+007	-2.2049e+007	-1.0095e+007	-3.2144e+007	
10	5.625e-002	-9.0534e+006	-1.2183e+007	-2.1237e+007	-9.7104e+006	-3.0947e+007	
11	6.25e-002	-9.0534e+006	-1.1371e+007	-2.0424e+007	-6.856e+006	-2.728e+007	
12	6.875e-002	-9.0534e+006	-1.0559e+007	-1.9612e+007	-4.3612e+006	-2.3973e+007	
13	7.5e-002	-9.0534e+006	-9.7466e+006	-1.88e+007	-5.0812e+006	-2.3881e+007	
14	8.125e-002	-9.0534e+006	-8.9344e+006	-1.7988e+007	-5.3923e+006	-2.338e+007	
15	8.75e-002	-9.0534e+006	-8.1221e+006	-1.7176e+007	9.6769e+005	-1.6208e+007	
16	9.375e-002	-9.0534e+006	-7.3099e+006	-1.6363e+007	1.3306e+007	-3.0569e+006	
17	1.e-001	-9.0534e+006	-6.4977e+006	-1.5551e+007	1.5507e+007	-43603	
18	0.10625	-9.0534e+006	-5.6855e+006	-1.4739e+007	1.4739e+007	-13.637	
19	0.1125	-9.0534e+006	-4.8733e+006	-1.3927e+007	1.3927e+007	0.	
20	0.11875	-9.0534e+006	-4.0611e+006	-1.3114e+007	1.3114e+007	0.	
21	0.125	-9.0534e+006	-3.2489e+006	-1.2302e+007	1.2302e+007	0.	
22	0.13125	-9.0534e+006	-2.4366e+006	-1.149e+007	1.149e+007	0.	
23	0.1375	-9.0534e+006	-1.6244e+006	-1.0678e+007	1.0678e+007	0.	
24	0.14375	-9.0534e+006	-8.1221e+005	-9.8656e+006	9.8656e+006	0.	
25	0.15	-9.0534e+006	0.	-9.0534e+006	9.0534e+006	0.	
26	0.15625	-9.0534e+006	8.1221e+005	-8.2412e+006	8.2412e+006	0.	
27	0.1625	-9.0534e+006	1.6244e+006	-7.4289e+006	7.4289e+006	0.	
28	0.16875	-9.0534e+006	2.4366e+006	-6.6167e+006	6.6167e+006	0.	
29	0.175	-9.0534e+006	3.2489e+006	-5.8045e+006	5.8045e+006	0.	
30	0.18125	-9.0534e+006	4.0611e+006	-4.9923e+006	4.9923e+006	0.	
31	0.1875	-9.0534e+006	4.8733e+006	-4.1801e+006	4.1801e+006	0.	
32	0.19375	-9.0534e+006	5.6855e+006	-3.3679e+006	3.3679e+006	0.	
33	0.2	-9.0534e+006	6.4977e+006	-2.5557e+006	2.5557e+006	0.	
34	0.20625	-9.0534e+006	7.3099e+006	-1.7434e+006	1.7434e+006	0.	
35	0.2125	-9.0534e+006	8.1221e+006	-9.3123e+005	9.3123e+005	0.	
36	0.21875	-9.0534e+006	8.9344e+006	-1.1902e+005	1.1902e+005	0.	
37	0.225	-9.0534e+006	9.7466e+006	6.932e+005	-6.932e+005	0.	
38	0.23125	-9.0534e+006	1.0559e+007	1.5054e+006	-1.5054e+006	0.	
39	0.2375	-9.0534e+006	1.1371e+007	2.3176e+006	-2.3176e+006	0.	
40	0.24375	-9.0534e+006	1.2183e+007	3.1298e+006	-3.1298e+006	0.	
41	0.25	-9.0534e+006	1.2995e+007	3.9421e+006	-3.9421e+006	0.	
42	0.25625	-9.0534e+006	1.3808e+007	4.7543e+006	-4.7543e+006	0.	
43	0.2625	-9.0534e+006	1.462e+007	5.5665e+006	-5.5665e+006	0.	
44	0.26875	-9.0534e+006	1.5432e+007	6.3787e+006	-6.3787e+006	0.	
45	0.275	-9.0534e+006	1.6244e+007	7.1909e+006	-7.1909e+006	0.	
46	0.28125	-9.0534e+006	1.7057e+007	8.0031e+006	-8.0031e+006	0.	
47	0.2875	-9.0534e+006	1.7869e+007	8.8153e+006	-8.8153e+006	0.	
48	0.29375	-9.0534e+006	1.8681e+007	9.6276e+006	-9.6276e+006	0.	
49	0.3	-9.0534e+006	1.9493e+007	1.044e+007	-1.044e+007	0.	
